text,label
you've already seen heartbreak if you've watched the far superior nurse betty or sunset boulevard . even the unwatchable soapdish is more original .,0
"a pleasing , often-funny comedy .",1
invincible is a wonderful movie .,1
the story drifts so inexorably into cliches about tortured ( and torturing ) artists and consuming but impossible love that you can't help but become more disappointed as each overwrought new sequence plods on .,0
a documentary to make the stones weep -- as shameful as it is scary .,1
"a deft , delightful mix of sulky teen drama and overcoming-obstacles sports-movie triumph .",1
a devastating indictment of unbridled greed and materalism .,1
"what 'dumb and dumber' would have been without the vulgarity and with an intelligent , life-affirming script .",1
"the unique tug-of-war with viewer expectations is undeniable , if not a pleasure in its own right .",1
"liotta put on 30 pounds for the role , and has completely transformed himself from his smooth , goodfellas image .",1
a sequel that's much too big for its britches .,0
exists then as an occasionally insightful acting exercise .,0
"the story itself is uninteresting , and the songs are painfully undistinguished : they might be giants' so to be one of us may be the most tuneless tune ever composed .",0
"see clockstoppers if you have nothing better to do with 94 minutes . but be warned , you too may feel time has decided to stand still . or that the battery on your watch has died .",0
"there's back-stabbing , inter-racial desire and , most importantly , singing and dancing .",1
"be patient with the lovely hush ! and your reward will be a thoughtful , emotional movie experience .",1
"it's of the quality of a lesser harrison ford movie - six days , seven nights , maybe , or that dreadful sabrina remake .",0
"an amusing and unexpectedly insightful examination of sexual jealousy , resentment and the fine line between passion and pretence .",1
"because the genre is well established , what makes the movie fresh is smart writing , skewed characters , and the title performance by kieran culkin .",1
"once she lets her love depraved leads meet , [denis'] story becomes a hopeless , unsatisfying muddle",0
"the production design , score and choreography are simply intoxicating .",1
"would be an unendurable viewing experience for this ultra-provincial new yorker if 26-year-old reese witherspoon were not on hand to inject her pure fantasy character , melanie carmichael , with a massive infusion of old-fashioned hollywood magic .",1
". . . routine , harmless diversion and little else .",0
"sound the trumpets : for the first time since desperately seeking susan , madonna doesn't suck as an actress .",1
"this is unusual , food-for-thought cinema that's as entertaining as it is instructive .",1
"stuart's poor-me persona needs a whole bunch of snowball's cynicism to cut through the sugar coating . but once the falcon arrives in the skies above manhattan , the adventure is on red alert .",1
it is just too the film's story does not live up to its style .,0
"just a kiss wants desperately to come off as a fanciful film about the typical problems of average people . but it is set in a world that is very , very far from the one most of us inhabit .",0
"the techno tux is good for a few laughs , as are chan and hewitt , but when such a good design turns out to be a cheap knockoff , we can't recommend anything but a rental for the tuxedo .",0
it's one thing to read about or rail against the ongoing - and unprecedented - construction project going on over our heads . it's quite another to feel physically caught up in the process .,1
the film desperately sinks further and further into comedy futility .,0
"in an effort , i suspect , not to offend by appearing either too serious or too lighthearted , it offends by just being wishy-washy .",0
"it's up to [watts] to lend credibility to this strange scenario , and her presence succeeds in making us believe .",1
the smartest bonehead comedy of the summer .,1
it's great escapist fun that recreates a place and time that will never happen again .,1
the casting of von sydow . . . is itself intacto's luckiest stroke .,1
"it is that rare combination of writing , direction and acting -- the trifecta of badness .",0
rodriguez . . . was unable to reproduce the special spark between the characters that made the first film such a delight .,0
"as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers .",1
the movie is . . . very funny as you peek at it through the fingers in front of your eyes .,1
"trapped presents a frightening and compelling 'what if ? ' scenario that will give most parents pause . . . . then , something terrible happens .",0
deliciously slow .,1
"a movie that will thrill you , touch you and make you laugh as well .",1
". . . a good , if not entirely fresh , look at war .",1
"a restrained ribisi convinces as an italian , though if ever a movie needed one of the actor's whiny jags to pump it up , this has to be among the rare ones .",0
a raunchy and frequently hilarious follow-up to the gifted korean american stand-up's i'm the one that i want .,1
"a confident , richly acted , emotionally devastating piece of work and 2002's first great film",1
"a supernatural mystery that doesn't know whether it wants to be a suspenseful horror movie or a weepy melodrama . it ends up being neither , and fails at both endeavors .",0
"filled with alexandre desplat's haunting and sublime music , the movie completely transfixes the audience .",1
the movie stays afloat thanks to its hallucinatory production design .,1
"for a film about explosions and death and spies , "" ballistic : ecks vs . sever "" seems as safe as a children's film . well , in some of those , the mother deer even dies .",0
constantly slips from the grasp of its maker .,0
"el peso de un líquido incoloro , el peso del líquido vital , del amor como elemento de vida , y de muerte . . .",1
"it's hard to imagine any recent film , independent or otherwise , that makes as much of a mess as this one .",0
suffers from all the excesses of the genre .,0
"eccentric enough to stave off doldrums , caruso's self-conscious debut is also eminently forgettable .",0
the nicest thing that can be said about stealing harvard ( which might have been called freddy gets molested by a dog ) is that it's not as obnoxious as tom green's freddie got fingered .,0
obstacles are too easily overcome and there isn't much in the way of character development in the script .,0
"'frailty "" starts out like a typical bible killer story , but it turns out to be significantly different ( and better ) than most films with this theme .",1
"the principals in this cast are all fine , but bishop and stevenson are standouts .",1
"this is not an easy film . but it could be , by its art and heart , a necessary one .",1
"contrived as this may sound , mr . rose's updating works surprisingly well .",1
"open-minded kids -- kids who read , kids who dream -- will be comforted by the way it deals with big issues like death and destiny .",1
"witless , pointless , tasteless and idiotic .",0
"a clutchy , indulgent and pretentious travelogue and diatribe against . . . well , just stuff . watching scarlet diva , one is poised for titillation , raw insight or both . instead , we just get messy anger , a movie as personal therapy .",0
"with its paint fights , motorized scooter chases and dewy-eyed sentiment , it's a pretty listless collection of kid-movie clichés .",0
a superbly acted and funny/gritty fable of the humanizing of one woman at the hands of the unseen forces of fate .,1
de niro cries . you'll cry for your money back .,0
"drags along in a dazed and enervated , drenched-in-the- past numbness .",0
somehow ms . griffiths and mr . pryce bring off this wild welsh whimsy .,1
"for the most part , the ingredients are there . but an unwillingness to explore beyond the surfaces of her characters prevents nettelbeck's film from coming together .",0
best enjoyed as a work of fiction inspired by real-life events . those seeking a definitive account of eisenstein's life would do better elsewhere .,1
"from its invitingly upbeat overture to its pathos-filled but ultimately life-affirming finale , martin is a masterfully conducted work .",1
so few movies explore religion that it's disappointing to see one reduce it to an idea that fits in a sampler .,0
"a sad , superior human comedy played out on the back roads of life .",1
"it becomes gimmicky instead of compelling . "" interview "" loses its overall sense of mystery and becomes a tv episode rather than a documentary that you actually buy into .",0
this in-depth study of important developments of the computer industry should make it required viewing in university computer science departments for years to come .,1
". . . very funny , very enjoyable . . .",1
it was only a matter of time before some savvy producer saw the potential success inherent in the mixture of bullock bubble and hugh goo .,1
"combines improbable melodrama ( gored bullfighters , comatose ballerinas ) with subtly kinky bedside vigils and sensational denouements , and yet at the end , we are undeniably touched .",1
crikey indeed .,0
"not everyone will welcome or accept the trials of henry kissinger as faithful portraiture , but few can argue that the debate it joins is a necessary and timely one .",1
"this is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you're going from one room to the next and none of them have any relation to the other .",1
a string of rehashed sight gags based in insipid vulgarity .,0
"the camera soars above the globe in dazzling panoramic shots that make the most of the large-screen format , before swooping down on a string of exotic locales , scooping the whole world up in a joyous communal festival of rhythm .",1
the good girl is a film in which the talent is undeniable but the results are underwhelming .,0
under-rehearsed and lifeless,0
seems like someone going through the motions .,0
"having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , khouri then gets terrific performances from them all .",1
the plot meanders from gripping to plodding and back .,0
"katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel-to-reel recordings of meeropol entertaining his children to create his song history , but most powerful of all is the song itself",1
"on top of a foundering performance , [madonna's] denied her own athleticism by lighting that emphasizes every line and sag .",0
"as dumb and cheesy as they may be , the cartoons look almost shakespearean -- both in depth and breadth -- after watching this digital-effects-heavy , supposed family-friendly comedy .",0
". . . may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence . this scarlet's letter is a . . . as in aimless , arduous , and arbitrary .",0
"add yet another hat to a talented head , clooney's a good director .",1
"with an unflappable air of decadent urbanity , everett remains a perfect wildean actor , and a relaxed firth displays impeccable comic skill .",1
reign of fire looks as if it was made without much thought -- and is best watched that way .,1
the worst kind of independent ; the one where actors play dress down hicks and ponderously mope around trying to strike lightning as captured by their 1970s predecessors,0
"spousal abuse is a major problem in contemporary society , but the film reduces this domestic tragedy to florid melodrama .",0
what the director can&#8217 ; t do is make either of val kilmer&#8217 ; s two personas interesting or worth caring about .,0
an annoying orgy of excess and exploitation that has no point and goes nowhere .,0
it's secondary to american psycho but still has claws enough to get inside you and stay there for a couple of hours .,1
"as chilling and fascinating as philippe mora's modern hitler-study , snide and prejudice .",1
"it's a setup so easy it borders on facile , but keeping the film from cheap-shot mediocrity is its crack cast .",1
"as bundy , michael reilly burke ( octopus 2 : river of fear ) has just the right amount of charisma and menace .",1
"[n]o matter how much good will the actors generate , showtime eventually folds under its own thinness .",0
"a little too ponderous to work as shallow entertainment , not remotely incisive enough to qualify as drama , monsoon wedding serves mostly to whet one's appetite for the bollywood films .",0
"if the message seems more facile than the earlier films , the images have such a terrible beauty you may not care .",1
"what makes salton sea surprisingly engrossing is that caruso takes an atypically hypnotic approach to a world that's often handled in fast-edit , hopped-up fashion .",1
even the hastily and amateurishly drawn animation cannot engage .,0
"it's jagger's bone-dry , mournfully brittle delivery that gives the film its bittersweet bite .",1
"a good film with a solid pedigree both in front of and , more specifically , behind the camera .",1
"a simple tale of an unlikely friendship , but thanks to the gorgeous locales and exceptional lead performances , it has considerable charm .",1
"please , someone , stop eric schaeffer before he makes another film .",0
"the story's so preposterous that i didn't believe it for a second , despite the best efforts of everyone involved .",0
"an enjoyable film for the family , amusing and cute for both adults and kids .",1
"it's still a comic book , but maguire makes it a comic book with soul .",1
"though there are entertaining and audacious moments , the movie's wildly careening tone and an extremely flat lead performance do little to salvage this filmmaker's flailing reputation .",0
i whole-heartedly recommend that everyone see this movie-- for its historical significance alone .,1
"sadly , though many of the actors throw off a spark or two when they first appear , they can't generate enough heat in this cold vacuum of a comedy to start a reaction .",0
"for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion .",0
tackles the difficult subject of grief and loss with such life-embracing spirit that the theme doesn't drag an audience down .,1
son of the bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness .,1
"enthusiastically taking up the current teen movie concern with bodily functions , walt becker's film pushes all the demographically appropriate comic buttons .",0
"at first , the sight of a blind man directing a film is hilarious , but as the film goes on , the joke wears thin .",0
"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .",1
"just as the lousy tarantino imitations have subsided , here comes the first lousy guy ritchie imitation .",0
enticing and often funny documentary .,1
this is the kind of movie where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks .,0
"we just don't really care too much about this love story . in that setting , their struggle is simply too ludicrous and borderline insulting .",0
"these three films form a remarkably cohesive whole , both visually and thematically , through their consistently sensitive and often exciting treatment of an ignored people .",1
"tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure .",1
"its scenes and sensibility are all more than familiar , but it exudes a kind of nostalgic spy-movie charm and , at the same time , is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time .",1
"thekids will probably stay amused at the kaleidoscope of big , colorful characters . mom and dad can catch some quality naptime along the way .",0
director peter kosminsky gives these women a forum to demonstrate their acting 'chops' and they take full advantage .,1
"the film is enriched by an imaginatively mixed cast of antic spirits , headed by christopher plummer as the subtlest and most complexly evil uncle ralph i've ever seen in the many film and stage adaptations of the work .",1
"it works well enough , since the thrills pop up frequently , and the dispatching of the cast is as often imaginative as it is gory .",1
featherweight romantic comedy has a few nice twists in a standard plot and the charisma of hugh grant and sandra bullock .,1
the trappings of i spy are so familiar you might as well be watching a rerun .,0
"it is a likable story , told with competence .",1
an overly melodramatic but somewhat insightful french coming-of-age film . . .,1
any one episode of the sopranos would send this ill-conceived folly to sleep with the fishes .,0
compellingly watchable .,1
"if this movie were a book , it would be a page-turner , you can't wait to see what happens next .",1
"too many scenarios in which the hero might have an opportunity to triumphantly sermonize , and too few that allow us to wonder for ourselves if things will turn out okay .",0
"it's the sweet cinderella story that "" pretty woman "" wanted to be .",1
"a deceivingly simple film , one that grows in power in retrospect .",1
"without resorting to hyperbole , i can state that kissing jessica stein may be the best same-sex romance i have seen .",1
"the ring is worth a look , if you don't demand much more than a few cheap thrills from your halloween entertainment .",1
"with few respites , marshall keeps the energy humming , and his edits , unlike those in moulin rouge , are crisp and purposeful without overdoing it .",1
"baran is shockingly devoid of your typical majid majidi shoe-loving , crippled children .",1
nothing more than four or five mild chuckles surrounded by 86 minutes of overly-familiar and poorly-constructed comedy .,0
the title trapped turns out to be a pretty fair description of how you feel while you're watching this ultra-manipulative thriller .,0
a by-the-numbers patient/doctor pic that covers all the usual ground,0
the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl .,0
"that neither protagonist has a distinguishable condition hardly matters because both are just actory concoctions , defined by childlike dimness and a handful of quirks .",0
"it's plotless , shapeless -- and yet , it must be admitted , not entirely humorless . indeed , the more outrageous bits achieve a shock-you-into-laughter intensity of almost dadaist proportions .",1
"the rich performances by friel -- and especially williams , an american actress who becomes fully english -- round out the square edges .",1
this flick is about as cool and crowd-pleasing as a documentary can get .,1
a mechanical action-comedy whose seeming purpose is to market the charismatic jackie chan to even younger audiences .,0
manages to please its intended audience -- children -- without placing their parents in a coma-like state .,1
"if we don't demand a standard of quality for the art that we choose , we deserve the trash that we get .",0
"a teasing drama whose relentless good-deed/bad-deed reversals are just interesting enough to make a sinner like me pray for an even more interesting , less symmetrical , less obviously cross-shaped creation .",1
millions of dollars heaped upon a project of such vast proportions need to reap more rewards than spiffy bluescreen technique and stylish weaponry .,0
brave and sweetly rendered love story .,1
"there's very little sense to what's going on here , but the makers serve up the cliches with considerable dash .",1
"remains a solid , if somewhat heavy-handed , account of the near-disaster . . . done up by howard with a steady , if not very imaginative , hand .",1
"writer-director's mehta's effort has tons of charm and the whimsy is in the mixture , the intoxicating masala , of cultures and film genres .",1
"as broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , frank novak , that keeps the film grounded in an undeniable social realism .",1
"a , pretentious muddle that uses a sensational , real-life 19th-century crime as a metaphor for -- well , i'm not exactly sure what -- and has all the dramatic weight of a raindrop .",0
"it has the charm of the original american road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker's motherland .",1
a pro-fat farce that overcomes much of its excessive moral baggage thanks to two appealing lead performances .,1
"home alone goes hollywood , a funny premise until the kids start pulling off stunts not even steven spielberg would know how to do . besides , real movie producers aren't this nice .",0
"a laughable -- or rather , unlaughable -- excuse for a film .",0
feels like a cold old man going through the motions .,0
"a gorgeous , witty , seductive movie .",1
"a moving , if uneven , success .",1
works on the whodunit level as its larger themes get lost in the murk of its own making,0
"moretti plays giovanni , a psychiatrist who predictably finds it difficult to sustain interest in his profession after the family tragedy . too predictably , in fact .",0
it's a sometimes interesting remake that doesn't compare to the brilliant original .,0
"like mike doesn't win any points for originality . it does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism .",1
"while dutifully pulling on heartstrings , directors dean deblois and chris sanders valiantly keep punching up the mix .",1
"for a debut film , skin of man , heart of beast feels unusually assured .",1
[a] devastatingly powerful and astonishingly vivid holocaust drama .,1
how inept is serving sara ? it makes even elizabeth hurley seem graceless and ugly .,0
"it's fun , but a psychological mess , with austin powers bumping his head on the way out of the closet .",0
it's a fun adventure movie for kids ( of all ages ) that like adventure .,1
os problemas têm início a partir do momento em que saímos do cinema e começamos a pensar sobre o que acabamos de ver . É então que sinais realmente desaponta .,1
the film is often filled with a sense of pure wonderment and excitement not often seen in today's cinema du sarcasm,1
"often hilarious , well-shot and , importantly , entertaining , hell house is a fascinating document of an event that has to be seen to be believed .",1
winds up feeling like lots of other quirky movies that try to score hipness points with young adults .,0
"pumpkin struts about with "" courage "" pinned to its huckster lapel while a yellow streak a mile wide decorates its back .",0
"as a movie , it never seems fresh and vital . it never plays as dramatic even when dramatic things happen to people . it labours as storytelling .",0
a fanciful drama about napoleon's last years and his surprising discovery of love and humility .,1
"feels shrill , simple and soapy .",0
"there's a reason the studio didn't offer an advance screening . "" the adventures of pluto nash "" is a big time stinker .",0
"a colorful , vibrant introduction to a universal human impulse , lushly photographed and beautifully recorded .",1
those who want to be jolted out of their gourd should drop everything and run to ichi .,1
"at times , the suspense is palpable , but by the end there's a sense that the crux of the mystery hinges on a technicality that strains credulity and leaves the viewer haunted by the waste of potential .",0
"sex ironically has little to do with the story , which becomes something about how lame it is to try and evade your responsibilities and that you should never , ever , leave a large dog alone with a toddler . but never mind all that ; the boobs are fantasti",0
like other great documentaries . . . this goes after one truth ( the ford administration's complicity in tearing 'orphans' from their mothers ) and stumbles upon others even more compelling .,1
". . . instead go rent "" shakes the clown "" , a much funnier film with a similar theme and an equally great robin williams performance .",0
"'a fresh-faced , big-hearted and frequently funny thrill ride for the kiddies , with enough eye candy and cheeky wit to keep parents away from the concession stand . '",1
"lástima por schwarzenegger , pero es hora de que deje la estafeta a las nuevas generaciones .",0
"boll uses a lot of quick cutting and blurry step-printing to goose things up , but dopey dialogue and sometimes inadequate performances kill the effect .",0
the subject of swinging still seems ripe for a documentary -- just not this one .,0
its director's most substantial feature for some time .,1
"less dizzying than just dizzy , the jaunt is practically over before it begins .",0
a riveting story well told .,1
an eccentric little comic/thriller deeply in love with its own quirky personality .,0
"acting , particularly by tambor , almost makes "" never again "" worthwhile , but [writer/director] schaeffer should follow his titular advice",0
"partway through watching this saccharine , easter-egg-colored concoction , you realize that it is made up of three episodes of a rejected tv show .",0
"hey everybody , wanna watch a movie in which a guy dressed as a children's party clown gets violently gang-raped ? i didn't think so .",0
"it's not a film to be taken literally on any level , but its focus always appears questionable .",0
"screenwriter chris ver weil's directing debut is good-natured and never , but its virtues are small and easily overshadowed by its predictability .",0
"an honest , sensitive story from a vietnamese point of view .",1
"as a director , eastwood is off his game -- there's no real sense of suspense , and none of the plot 'surprises' are really surprising .",0
it manages to squeeze by on angelina jolie's surprising flair for self-deprecating comedy .,1
"unexpected , and often contradictory , truths emerge .",1
"unfortunately , kapur modernizes a . e . w . mason's story to suit the sensibilities of a young american , a decision that plucks "" the four feathers "" bare .",0
the script ? please .,0
"earns its laughs from stock redneck 'types' and from the many , many moments when we recognize even without the elizabethan prose , the play behind the thing .",1
